1739811899.449825 server started (13567): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1739811899.449897 on Darwin 24.2.0 Darwin Kernel Version 24.2.0: Fri Dec  6 18:51:28 PST 2024; root:xnu-11215.61.5~2/RELEASE_ARM64_T8112
1739811899.449906 using libevent 2.1.12-stable select
1739811899.449917 using utf8proc 2.10.0
1739811899.449924 using ncurses 6.5 20240427
1739811899.450128 input_key_build: 0x10e003 (PasteStart) is \033[200~
1739811899.450147 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1739811899.450243 input_key_build: 0x10e195 (F1) is \033OP
1739811899.450254 input_key_build: 0x10e196 (F2) is \033OQ
1739811899.450262 input_key_build: 0x10e197 (F3) is \033OR
1739811899.450269 input_key_build: 0x10e198 (F4) is \033OS
1739811899.450276 input_key_build: 0x10e199 (F5) is \033[15~
1739811899.450283 input_key_build: 0x10e19a (F6) is \033[17~
1739811899.450290 input_key_build: 0x10e19b (F7) is \033[18~
1739811899.450296 input_key_build: 0x10e19c (F8) is \033[19~
1739811899.450303 input_key_build: 0x10e19d (F9) is \033[20~
1739811899.450309 input_key_build: 0x10e19e (F10) is \033[21~
1739811899.450316 input_key_build: 0x10e19f (F11) is \033[23~
1739811899.450323 input_key_build: 0x10e1a0 (F12) is \033[24~
1739811899.450329 input_key_build: 0x10e1a1 (IC) is \033[2~
1739811899.450336 input_key_build: 0x10e1a2 (DC) is \033[3~
1739811899.450343 input_key_build: 0x10e1a3 (Home) is \033[1~
1739811899.450349 input_key_build: 0x10e1a4 (End) is \033[4~
1739811899.450356 input_key_build: 0x10e1a5 (NPage) is \033[6~
1739811899.450363 input_key_build: 0x10e1a6 (PPage) is \033[5~
1739811899.450369 input_key_build: 0x10e1a7 (BTab) is \033[Z
1739811899.450379 input_key_build: 0x10e1a8 (Up) is \033[A
1739811899.450386 input_key_build: 0x10e1a9 (Down) is \033[B
1739811899.450392 input_key_build: 0x10e1aa (Left) is \033[D
1739811899.450399 input_key_build: 0x10e1ab (Right) is \033[C
1739811899.450405 input_key_build: 0x10e1ac (KP/) is /
1739811899.450412 input_key_build: 0x10e1ad (KP*) is *
1739811899.450418 input_key_build: 0x10e1ae (KP-) is -
1739811899.450425 input_key_build: 0x10e1af (KP7) is 7
1739811899.450431 input_key_build: 0x10e1b0 (KP8) is 8
1739811899.450438 input_key_build: 0x10e1b1 (KP9) is 9
1739811899.450444 input_key_build: 0x10e1b2 (KP+) is +
1739811899.450451 input_key_build: 0x10e1b3 (KP4) is 4
1739811899.450457 input_key_build: 0x10e1b4 (KP5) is 5
1739811899.450463 input_key_build: 0x10e1b5 (KP6) is 6
1739811899.450469 input_key_build: 0x10e1b6 (KP1) is 1
1739811899.450476 input_key_build: 0x10e1b7 (KP2) is 2
